,date,solomon islands flights-AU,solomon islands hotel-AU,solomon islands travel-AU,solomon islands flights-NZ,solomon islands hotel-NZ,solomon islands travel-NZ,solomon islands flights-US,solomon islands hotel-US,solomon islands travel-US,solomon islands flights-JP,solomon islands hotel-JP,solomon islands travel-JP,solomon islands flights-HK,solomon islands hotel-HK,solomon islands travel-HK,solomon islands flights-NC,solomon islands hotel-NC,solomon islands travel-NC,solomon islands flights,solomon islands hotel,solomon islands travel
132,2015-01-01,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18859947801071386,0.0687166063544513,0.11727789049650107
133,2015-02-01,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17373341082426672,0.0963388780686235,0.0990798949114653
134,2015-03-01,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15783450843446134,0.19255511168490186,0.18047328524025782
135,2015-04-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.16409278827094403,0.03970934683821448
136,2015-05-01,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.2196814216502284,0.2257601360014907,0.12026906983953478
137,2015-06-01,0,2,2,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0.15201627683774543,0.09183139699199058,0.1505558298237937
138,2015-07-01,6,2,2,0,0,0,3,4,13,0,0,0,0,0,0,0,0,0,0.26447812954799504,0.13596277330317258,0.14467509190631264
139,2015-08-01,3,2,2,0,0,0,10,5,11,0,0,0,0,0,0,0,0,0,0.16339050674898767,0.084801478335793,0.1294730228221436
140,2015-09-01,3,1,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0.14244297838224487,0.12066686988796303,0.10786646004133117
141,2015-10-01,6,0,3,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0.1871902378801144,0.10976158198155635,0.09945397618416879
142,2015-11-01,4,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.13335016458260981,0.10169238995368804,0.14299580974920645
143,2015-12-01,3,4,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.16582485591585666,0.11718202514494125,0.09939139502372582
144,2016-01-01,4,2,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.25758424820287684,0.16665073156696078,0.12318964866350668
145,2016-02-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10601252750650984,0.11144378671708124,0.08678819850248899
146,2016-03-01,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.1829480176083788,0.04871746733299346,0.16691155619360595
147,2016-04-01,8,3,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0.27734705158933926,0.1401497059333105,0.19490372798512168
148,2016-05-01,2,2,2,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0.2766896535735057,0.15708274804208266,0.10702726602514435
149,2016-06-01,0,0,3,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0.27716011231561904,0.16941899859518303,0.17574389399151327
150,2016-07-01,12,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0.164975091252245,0.15378722783711324,0.0987084418534644
151,2016-08-01,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12659106231165765,0.10356801060929217,0.10283996088212669
152,2016-09-01,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1742805015123943,0.12580356480168622,0.14120159134207746
153,2016-10-01,2,0,1,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0.20426699345670402,0.10920790844265696,0.0
154,2016-11-01,4,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.2118584273022651,0.10306324938424045,0.08072679050038556
155,2016-12-01,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23243413829107323,0.0813823850705411,0.25372905927334183
156,2017-01-01,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0.26689854806660585,0.08241954881757493,0.3190987719526733
157,2017-02-01,6,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.16982141650917873,0.08751576690093599,0.07754464471097071
158,2017-03-01,3,2,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.11326938297146023,0.1703082135840425,0.2119497642176273
159,2017-04-01,2,0,2,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0.1722706929932688,0.12392630710968021,0.15558758976815126
160,2017-05-01,3,2,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0.2008144237200764,0.154811245145075,0.16657035184701324
161,2017-06-01,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.2302634582316456,0.09597892092707137,0.10313621488040395
162,2017-07-01,2,0,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0.062468060035771426,0.10644409759164367,0.0667758595756945
163,2017-08-01,5,2,1,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0.17661749319996645,0.19352959650424287,0.1899840671101241
164,2017-09-01,4,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.3528773816977784,0.1632264872342127,0.17112202607463636
165,2017-10-01,4,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.12229289040717538,0.14118122503233443,0.14447295752938455
166,2017-11-01,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22606276729116415,0.10935578367805625,0.1328624072932842
167,2017-12-01,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.21036696094945684,0.14779375811540757,0.04804725506159157
