date,ym,vietnam_tuoi_tre_body_count,vietnam_tuoi_tre_epu_count,vietnam_tuoi_tre_ratio,vietnam_news_body_count,vietnam_news_epu_count,vietnam_news_ratio,news_total,vietnam_tuoi_tre_weights,vietnam_news_weights,vietnam_tuoi_tre_z_score,vietnam_news_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2020-06-01,2020-6,201,3.0,0.014925373134328358,342.0,25.0,0.07309941520467836,543.0,0.3701657458563536,0.6298342541436464,1.7562255134271412,2.766888759789001,2.261557136608071,2.3927758453898593,147.73904734449073,161.81120791584578,147.73904734449073
2020-07-01,2020-7,221,4.0,0.01809954751131222,369.0,30.0,0.08130081300813008,590.0,0.37457627118644066,0.6254237288135593,2.129721437097167,3.0773201816189864,2.6035208093580766,2.7223721773150507,168.08957377624367,186.27822405058197,168.08957377624367
2020-08-01,2020-8,304,1.0,0.003289473684210526,305.0,22.0,0.07213114754098361,609.0,0.49917898193760263,0.5008210180623974,0.387062859867166,2.7302388234298287,1.5586508416484974,1.5605746314379578,96.35579103777621,111.51925871059728,96.35579103777621
2020-09-01,2020-9,223,2.0,0.008968609865470852,274.0,19.0,0.06934306569343066,497.0,0.448692152917505,0.5513078470824949,1.0553103982028562,2.6247070308188216,1.840008714510839,1.9205310769488813,118.58086592214269,131.65001575738611,118.58086592214269
2020-10-01,2020-10,254,1.0,0.003937007874015748,303.0,17.0,0.056105610561056105,557.0,0.45601436265709155,0.5439856373429084,0.4632563362189703,2.1236556104835973,1.2934559733512838,1.366489693673516,84.37225155810485,92.54494173330644,84.37225155810485
2020-11-01,2020-11,248,6.0,0.024193548387096774,279.0,20.0,0.07168458781362007,527.0,0.47058823529411764,0.5294117647058824,2.846784904829479,2.713336074115665,2.780060489472572,2.776135523863342,171.40912651094712,198.9093879606159,171.40912651094712
2020-12-01,2020-12,229,1.0,0.004366812227074236,314.0,16.0,0.050955414012738856,543.0,0.42173112338858193,0.578268876611418,0.5138301720507356,1.9287153240210717,1.2212727480359036,1.3320142194147973,82.24360514371297,87.38033426419722,82.24360514371297
2021-01-01,2021-1,218,2.0,0.009174311926605505,275.0,16.0,0.05818181818181818,493.0,0.4421906693711968,0.5578093306288032,1.0795147651341144,2.2022422245186055,1.64087849482636,1.7057826177319542,105.32148233026396,117.40253075772796,105.32148233026396
2021-02-01,2021-2,208,2.0,0.009615384615384616,194.0,12.0,0.061855670103092786,402.0,0.5174129353233831,0.48258706467661694,1.13141451345787,2.341301334056507,1.7363579237571884,1.715290242801491,105.90851912812712,124.23394857880685,105.90851912812712
2021-03-01,2021-3,249,1.0,0.004016064257028112,280.0,12.0,0.04285714285714286,529.0,0.4706994328922495,0.5293005671077504,0.47255867228762427,1.6221873528820085,1.0473730125848164,1.0810577848895666,66.74860395788866,74.93805465334918,66.74860395788866
